name,male_percent
mehmet,100
fatma,0
ali,100
mustafa,100
ayse,0
ahmet,100
emine,0
hatice,0
huseyin,100
hasan,100
ibrahim,100
murat,100
ismail,100
osman,100
zeynep,0
halil,100
ramazan,100
omer,100
yusuf,100
meryem,0
elif,0
suleyman,100
abdullah,100
sultan,2
kemal,100
yasar,89
fatih,100
hulya,0
sevim,0
mahmut,100
ozlem,0
serife,0
recep,100
fadime,0
salih,100
hakan,100
hanife,0
metin,100
aysel,0
dilek,0
zehra,0
yasemin,0
adem,100
hacer,0
havva,0
kadir,100
leyla,0
aynur,0
orhan,100
songul,0
zeliha,0
filiz,0
bayram,99
cemile,0
emin,100
serkan,100
melek,0
kadriye,0
selma,0
ayten,0
sevgi,0
gokhan,100
ayhan,89
yilmaz,100
ugur,98
turkan,0
sibel,0
semra,0
yuksel,56
bekir,100
hayriye,0
derya,3
esra,0
bulent,100
gulsum,0
halime,0
sukran,0
arzu,0
serpil,0
cemal,100
musa,100
erol,100
erkan,100
gulsen,0
nuray,1
ismet,87
cengiz,100
zeki,100
asiye,0
nurcan,1
dursun,83
ercan,100
gulay,0
nurten,0
haci,99
mesut,100
ihsan,99
dondu,0
kenan,100
aydin,99
emre,99
erdal,100
arif,100
nuri,99
sukru,100
muzaffer,91
sinan,100
gonul,0
muhammet,100
cigdem,0
hanim,0
keziban,0
guler,0
pinar,0
saban,100
umit,92
meral,0
serdar,100
faruk,100
yunus,100
rukiye,0
hava,0
tugba,0
deniz,43
saniye,0
gulten,0
sedat,100
nuriye,0
naciye,0
yildiz,1
celal,100
yakup,100
hikmet,72
engin,98
selahattin,100
seher,0
aysegul,0
zekiye,0
necla,0
remziye,0
nihat,100
emrah,99
riza,100
ebru,0
emel,0
tulay,0
perihan,0
sema,0
yeter,1
serap,0
yasin,100
abdurrahman,100
muharrem,100
huriye,0
safiye,0
esma,0
canan,2
nazmiye,0
ekrem,100
makbule,0
nuran,1
adnan,100
isa,100
ozgur,92
bilal,100
nermin,0
cemil,100
mevlut,100
sengul,0
munevver,0
selim,100
ayfer,0
nurettin,100
sevda,0
rabia,0
neslihan,0
kamil,100
ilhan,94
erhan,100
saliha,0
kazim,100
necati,100
feride,0
hamide,0
irfan,98
zubeyde,0
meliha,0
gullu,0
ilknur,0
neriman,0
harun,100
rahime,0
saadet,1
sabri,100
gulcan,0
hakki,100
medine,0
zafer,97
veli,100
muzeyyen,0
ferhat,100
dudu,0
sahin,99
onur,99
abdulkadir,100
gul,1
hediye,0
arife,0
levent,100
burcu,0
gulseren,0
merve,0
erdogan,100
halit,100
fikret,94
aysun,0
melahat,0
sadiye,0
yavuz,100
ilyas,100
durmus,100
selcuk,100
sadik,100
veysel,100
muammer,97
ozcan,93
tuncay,98
sami,100
burhan,100
nesrin,0
nimet,8
turan,99
baris,99
zahide,0
nazife,0
aziz,100
birgul,0
fikriye,0
nevzat,98
elmas,1
nazli,0
cennet,0
vedat,100
sati,8
memet,100
nihal,0
remzi,100
reyhan,3
volkan,100
hafize,0
can,96
burak,100
sait,100
nevin,0
cihan,86
kezban,0
ersin,97
haydar,100
habibe,0
nurgul,0
sebahat,0
bahar,0
cetin,100
raziye,0
dogan,100
sukriye,0
bedriye,0
lutfiye,0
seda,0
suna,0
ozkan,100
suat,94
tuba,0
nebahat,0
nilgun,0
tahsin,100
enver,100
eyup,100
semiha,0
hatun,0
duygu,1
niyazi,100
servet,74
senay,2
mine,0
asli,0
serif,86
mehtap,0
kiymet,0
birsen,0
selda,0
nese,0
hamza,100
ziya,100
cuma,99
senol,97
aliye,0
idris,100
gamze,0
fevzi,100
davut,100
cafer,100
betul,0
suzan,0
nur,9
yalcin,100
sabriye,0
nejla,0
oktay,100
cem,100
ummu,0
fuat,100
kubra,0
sakine,0
guluzar,0
soner,98
turgut,100
done,0
sevket,100
yeliz,0
sevil,0
hamdi,100
hayrettin,100
tahir,100
pakize,0
gulhan,3
yucel,88
adil,100
ufuk,94
ayla,0
izzet,98
kamile,0
muhammed,100
taner,100
hamit,100
oznur,2
azize,0
salim,100
nezahat,0
nursen,0
sevinc,1
hilal,3
hasibe,0
nursel,1
erdem,97
saime,0
funda,0
nurhan,6
fahri,100
saziye,0
savas,100
ridvan,100
naime,0
ilker,99
duran,94
serhat,98
turgay,100
adile,0
fahrettin,100
nilufer,0
zuhal,0
fahriye,0
cevdet,100
unal,99
sefika,0
hilmi,100
ozge,1
oguz,100
akif,100
zuleyha,0
figen,0
umut,95
meltem,0
sakir,100
eda,0
onder,100
elife,0
sinem,0
demet,0
alper,100
ergun,99
kasim,100
seyhan,18
zekeriya,100
sabiha,0
mevlude,0
tevfik,100
yesim,0
gulbahar,0
resul,100
yahya,100
senem,0
beyhan,10
muhittin,100
coskun,100
gulizar,0
tolga,100
fidan,0
dilber,0
necdet,100
selami,100
necmettin,100
gulsah,0
rifat,100
hidayet,62
kerim,100
seref,97
suheyla,0
sirin,43
melike,0
durdane,0
sidika,0
fatime,0
husnu,99
nazim,100
mukaddes,0
seval,1
sebahattin,100
kevser,0
ummuhan,0
asuman,0
birol,100
husniye,0
ipek,1
gunay,31
behiye,0
bahattin,100
nazan,0
okan,100
sevilay,0
rasim,100
ulku,6
fehmi,100
hayri,100
cuneyt,100
kudret,24
lutfi,100
naci,100
vesile,0
esme,0
inci,0
cahit,100
husne,0
seyit,99
durdu,34
atilla,100
tarik,100
nedim,100
kader,7
serafettin,100
firat,100
nigar,0
semih,100
muazzez,0
nazire,0
necmiye,0
nurdan,0
samet,100
firdevs,0
bahri,100
nazmi,100
azime,0
seyfettin,100
tamer,100
bahriye,0
gulcin,0
muhsin,100
vildan,0
halise,0
satilmis,100
selime,0
naile,0
muslum,100
mediha,0
guldane,0
halis,100
handan,0
sezgin,91
esin,2
tayfun,100
sureyya,19
alime,0
ertugrul,100
sule,0
rahmi,99
zohre,0
ertan,100
aykut,100
aylin,0
ummugulsum,0
cevat,100
hanifi,100
sabahat,0
esref,99
ozgul,1
eyyup,100
sefer,99
aysen,0
rabiye,0
sadettin,100
muserref,1
guner,25
bunyamin,100
ferit,100
sebiha,0
fikri,100
sercan,88
latife,0
kerem,100
ferdi,100
ilkay,33
nafiye,0
nezaket,0
hadice,0
cevriye,0
faik,100
hayati,99
sehri,2
umran,11
erdinc,100
hamdiye,0
sezai,100
mahir,100
nahide,0
nagihan,0
gulistan,0
gulser,0
asim,100
sefa,83
banu,0
ilhami,100
fethiye,0
nesibe,0
sevcan,1
gulnaz,0
vahide,0
resit,100
akin,100
yurdagul,0
nurullah,100
berna,0
caner,99
busra,0
belgin,1
fevziye,0
bedia,0
didem,0
zulfiye,0
baki,100
veysi,100
nadire,0
rafet,97
selver,3
emrullah,100
nalan,0
oya,0
leman,0
munire,0
gulden,0
nusret,96
nizamettin,100
necip,100
sabahattin,100
adalet,3
ceylan,13
olcay,66
gurkan,99
eren,94
nail,100
ozan,100
cicek,0
refik,100
elvan,25
tekin,100
mutlu,82
gungor,62
necmi,100
neziha,0
nurhayat,0
seyhmus,100
ese,3
alaattin,100
emir,51
aygul,0
galip,100
gizem,0
resat,100
