name,male_percent
James,100
John,100
Robert,100
Michael,100
William,100
Mary,0
David,100
Richard,100
Joseph,100
Charles,100
Thomas,100
Christopher,100
Daniel,100
Matthew,100
Patricia,0
Elizabeth,0
Jennifer,0
Linda,0
Barbara,0
Anthony,100
Donald,100
Paul,100
Mark,100
George,100
Steven,100
Kenneth,100
Andrew,100
Edward,100
Joshua,100
Kevin,100
Brian,100
Margaret,0
Susan,0
Ronald,100
Timothy,100
Dorothy,0
Jessica,0
Jason,100
Sarah,0
Betty,0
Nancy,0
Karen,0
Jeffrey,100
Lisa,0
Ryan,98
Gary,100
Helen,0
Jacob,100
Nicholas,100
Sandra,0
Eric,100
Ashley,1
Stephen,100
Kimberly,0
Donna,0
Jonathan,100
Frank,100
Carol,1
Emily,0
Michelle,0
Larry,100
Amanda,0
Justin,100
Scott,100
Brandon,100
Melissa,0
Laura,0
Raymond,100
Stephanie,0
Deborah,0
Anna,0
Rebecca,0
Ruth,0
Sharon,0
Samuel,100
Benjamin,100
Cynthia,0
Gregory,100
Kathleen,0
Shirley,1
Amy,0
Patrick,100
Jack,100
Angela,0
Alexander,100
Virginia,0
Jerry,98
Dennis,100
Catherine,0
Brenda,0
Katherine,0
Henry,100
Tyler,98
Pamela,0
Nicole,0
Christine,0
Aaron,100
Samantha,0
Walter,100
Peter,100
Douglas,100
Emma,0
Jose,100
Rachel,0
Janet,0
Carolyn,0
Debra,0
Kelly,14
Adam,100
Willie,77
Maria,1
Frances,0
Nathan,100
Zachary,100
Harold,100
Evelyn,0
Heather,0
Diane,0
Terry,82
Julie,0
Joyce,0
Martha,0
Jordan,74
Kyle,99
Joan,1
Carl,100
Alice,0
Arthur,100
Victoria,0
Christina,0
Lauren,0
Jean,4
Marie,0
Ann,0
Doris,0
Judith,0
Gerald,100
Albert,100
Lawrence,100
Cheryl,0
Roger,100
Megan,0
Kathryn,0
Keith,100
Jeremy,100
Joe,98
Andrea,1
Christian,96
Taylor,25
Jacqueline,0
Rose,0
Grace,0
Sean,100
Julia,0
Sara,0
Hannah,0
Olivia,0
Gloria,0
Teresa,0
Jesse,98
Janice,0
Austin,99
Ethan,100
Mildred,0
Alexis,15
Ralph,100
Theresa,0
Billy,99
Judy,0
Bruce,100
Roy,100
Beverly,0
Bryan,100
Denise,0
Madison,1
Marilyn,0
Leslie,28
Amber,0
Louis,100
Danielle,0
Lillian,0
Eugene,100
Dylan,97
Brittany,0
Harry,100
Jane,0
Diana,0
Noah,100
Wayne,100
Jamie,24
Abigail,0
Russell,100
Alan,100
Shannon,14
Lori,0
Juan,100
Natalie,0
Tiffany,0
Kayla,0
Kathy,0
Shawn,91
Philip,100
Tammy,0
Gabriel,99
Vincent,100
Randy,99
Robin,12
Crystal,0
Logan,93
Howard,100
Charlotte,0
Bonnie,0
Lois,0
Phyllis,0
Bobby,98
Erin,2
Ruby,0
Sophia,0
Angel,71
Johnny,100
Irene,0
Victor,100
Anne,0
Tracy,19
Phillip,100
Alyssa,0
Bradley,100
Isabella,0
Travis,100
Fred,100
Craig,100
Martin,100
Dale,94
Allison,0
Stanley,100
Peggy,0
Francis,93
Cameron,92
Tina,0
Dawn,0
Jimmy,100
Louise,0
Cody,99
Danny,100
Carlos,100
Todd,100
Leonard,100
Annie,0
Rita,0
Wanda,0
Ernest,100
Paula,0
Courtney,7
Lee,79
Norma,0
Audrey,0
Caleb,100
Alex,98
Connie,1
Clarence,100
Luis,100
Earl,100
Elijah,100
Joel,100
Josephine,0
Wendy,0
Allen,100
Marjorie,0
Eleanor,0
Isaac,100
Nathaniel,100
Evan,99
Mason,99
Cindy,0
Elaine,0
Valerie,0
Curtis,100
Vanessa,0
Ellen,0
Luke,100
Brianna,0
Florence,0
Frederick,100
Morgan,15
Monica,0
Tony,100
Marvin,100
Norman,100
Rodney,100
Jasmine,0
Glenn,100
Ella,0
Antonio,100
Melanie,0
Chad,100
Dana,21
April,0
Melvin,100
Sheila,0
Steve,100
Adrian,95
Ava,0
Hunter,96
Jessie,43
Erica,0
Edwin,100
Sherry,0
Jeffery,100
Derek,100
Marion,28
Sylvia,0
Alexandra,0
Edna,0
Lynn,21
Lucas,100
Marcus,100
Carrie,0
Alfred,100
Michele,0
Jesus,99
Alicia,0
Ricky,100
Katie,0
Theodore,100
Gladys,0
Kristen,0
Suzanne,0
Ian,100
Jackson,100
Edith,0
Eva,0
Esther,0
Eddie,94
Jayden,91
Veronica,0
Leah,0
Kim,15
Herbert,100
Joanne,0
Troy,100
Anita,0
Dolores,0
Rhonda,0
Caroline,0
Jill,0
Clara,0
Geraldine,0
Gail,3
Wesley,100
Lorraine,0
Dustin,100
Thelma,0
Mia,0
Hazel,1
Darlene,0
Pauline,0
Juanita,0
Mike,100
Lucille,0
Holly,0
Connor,100
Jared,100
Isaiah,100
Ethel,0
Sally,0
Randall,100
Vivian,0
Calvin,100
Chloe,0
Julian,100
Ray,99
Bernard,100
Leroy,100
Shane,99
Brooke,0
June,0
Corey,97
Debbie,0
Aiden,100
Jay,100
Ronnie,98
Renee,0
Jeremiah,100
Casey,59
Eileen,0
Riley,48
Stacy,10
Oscar,100
Leo,100
Kristin,0
Barry,100
Clifford,100
Jo,0
Manuel,100
Blake,96
Liam,100
Tommy,100
Tara,0
Claire,0
Madeline,0
Miguel,100
Regina,0
Dean,100
Warren,100
Cathy,0
Sydney,2
Gavin,100
Bernice,1
Cassandra,0
Roberta,0
Jon,100
Laurie,0
Owen,100
Devin,91
Annette,0
Loretta,0
Lucy,0
Don,100
Jackie,46
Beatrice,0
Kaitlyn,0
Colleen,0
Chris,87
Jeanne,0
Mitchell,100
Charlie,89
Lindsey,2
Chelsea,0
Molly,0
Savannah,0
Brett,99
Stacey,7
Seth,100
Darrell,100
Chase,99
Jeanette,0
Beth,0
Leon,100
Jerome,100
Avery,30
Bill,100
Dominic,100
Amelia,0
Trevor,100
Joann,0
Haley,0
Shelby,7
Hailey,0
Rosemary,0
Vicki,0
Yvonne,0
Micheal,100
Lloyd,100
Alvin,100
Gina,0
Erik,100
Gordon,100
Rosa,0
Kelsey,1
Carla,0
Carmen,9
Naomi,0
Terri,0
Lydia,0
Landon,100
Destiny,0
Jenna,0
Jim,100
Mario,100
Heidi,0
Maureen,0
Derrick,100
Floyd,100
Vernon,100
Max,100
Edgar,100
Sue,0
Arlene,0
Carter,98
Bertha,0
Marc,100
Johnnie,68
Brent,100
Lewis,100
Ricardo,100
Paige,0
Sabrina,0
Stella,0
Wyatt,100
Kristina,0
Constance,0
Melinda,0
Wilma,0
Deanna,0
Elsie,0
Sebastian,100
Joy,0
Georgia,0
Oliver,100
Katelyn,0
Charlene,0
Lily,0
Marian,0
Gabrielle,0
Lindsay,1
Marcia,0
Franklin,100
Clyde,99
Tamara,0
Francisco,100
Alejandro,100
Maurice,100
Cory,97
Faith,0
Cole,100
Mackenzie,4
Jorge,100
Marlene,0
Alma,0
Tom,100
Levi,100
Jimmie,85
Gene,97
Garrett,100
Ida,0
Billie,22
Clayton,100
Xavier,100
Aubrey,20
Ivan,100
Patsy,5
Erika,0
Gilbert,100
Kaylee,0
Claudia,0
Gertrude,0
Glen,100
Colin,100
Herman,100
Lester,100
Addison,7
Tonya,0
Andre,100
Marissa,0
Violet,0
Alexa,0
Vera,0
Sofia,0
Grant,100
Autumn,0
Agnes,0
Daisy,0
Jeff,100
Delores,0
Jake,100
Hayden,80
Tanya,0
Nora,0
Priscilla,0
Dakota,74
Lillie,0
Nina,0
Gwendolyn,0
Spencer,98
Zoe,0
Jaime,58
Duane,100
Bailey,15
Colton,100
Caitlin,0
Angelina,0
Peyton,41
Yolanda,0
Elmer,100
Alison,0
Tristan,96
Brayden,100
Carole,0
Chester,100
Vickie,0
Bryce,99
Milton,100
Miranda,0
Gabriella,0
Harvey,100
Aidan,99
Isabel,1
Maxine,0
Glenda,0
Ruben,100
Reginald,100
Brandy,0
Preston,100
Roberto,100
Parker,88
Sam,100
Kylie,0
Bessie,0
Mariah,0
Eli,100
Pearl,1
Marsha,0
Lance,100
Brandi,0
Darren,100
Margie,0
Cecil,97
Eduardo,100
Bobbie,15
Jocelyn,0
Miriam,0
Makayla,0
Diego,100
Lena,0
Dan,100
Carson,95
Katrina,0
Viola,0
Nellie,0
Neil,100
Hector,100
Joanna,0
Arnold,100
Sophie,0
Kara,0
Toni,0
Whitney,3
Genevieve,0
Christy,0
Ana,0
Kay,2
Sadie,0
Bethany,0
Karl,100
Sierra,0
Alexandria,0
Penny,0
Micah,90
Natasha,0
Meghan,0
Javier,100
Dianne,0
Kendra,0
Sidney,80
Kerry,50
Brooklyn,0
Ariana,0
Fernando,100
Mattie,0
Clinton,100
Jennie,0
Briana,0
Josiah,100
Roland,100
Everett,100
Tracey,7
Melody,0
Lonnie,97
Omar,100
Johnathan,100
Minnie,0
Cora,0
Allan,100
Tanner,99
Darryl,100
Bob,100
Myrtle,0
Felicia,0
Leona,0
Brendan,100
Angelica,0
Jenny,0
Maggie,0
Maya,0
Karla,0
Cecilia,0
Bridget,0
Adriana,0
Nolan,100
Devon,80
Arianna,0
Marshall,100
Becky,0
Guadalupe,27
Kendall,35
Pedro,100
Andy,100
Maxwell,100
Jaden,85
Misty,0
Brady,100
Shelly,0
Candace,0
Hope,0
Kurt,100
Sherri,0
Kristine,0
Jody,35
Nicolas,100
Raul,100
Jacquelyn,0
Brittney,0
Brad,100
Ashton,79
Breanna,0
Jillian,0
Desiree,0
Abraham,100
Madelyn,0
Guy,100
Jade,3
Aaliyah,0
Ariel,19
Tim,100
Rick,100
Isabelle,0
Andres,100
Rachael,0
Jodi,0
Damian,100
Dora,0
Geneva,0
Claude,100
Mae,0
Sheryl,0
Freddie,89
Monique,0
Dalton,100
Gabriela,0
Tyrone,100
Velma,0
Cooper,99
Greg,100
Byron,100
Drew,94
Ross,100
Lynda,0
Kristi,0
Marguerite,0
Summer,0
Wallace,100
Trinity,1
Dwight,100
Mabel,0
Rafael,100
Kelli,0
Layla,0
Harriet,0
Iris,0
Nevaeh,0
Sergio,100
Skylar,21
Collin,100
Krystal,0
Kaleb,100
Dwayne,100
Angelo,100
Sandy,9
Krista,0
Antoinette,0
Zoey,0
Lola,0
Shelley,0
Hugh,100
Ted,100
Payton,30
Meredith,2
Nelson,100
Rebekah,0
Willard,100
Ben,100
